,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
543,185.5877334,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,95,1,3.181412933,0.555799908,93.64950372,6.706777113,132.4479883,3.166265086,16.33086,48.20929
544,83.44435874,Private room,FALSE,TRUE,2,FALSE,1,0,8,84,1,7.37900144,0.303978664,33.65864516,2.410488279,47.3623455,1.132231171,16.47072,48.22261
545,115.933899,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,80,1,4.540297303,1.943765059,60.86688151,4.359025853,85.35853486,2.040557596,16.32036,48.22851
546,232.1015357,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,80,1,3.277969327,0.70044824,90.22075197,6.46122457,127.0033944,3.036108125,16.32967,48.21075
547,151.9295047,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,9,91,1,1.397727852,0.183915138,190.0503125,13.61059094,302.8702823,7.240333451,16.36927,48.1963
548,208.494028,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,100,1,4.19606985,0.640451644,72.43221631,5.187285691,97.41452615,2.3287648,16.31802,48.21499
549,270.2007807,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,0,1.459749751,0.180402805,123.2334137,8.825450277,199.4590309,4.768212591,16.38189,48.22045
550,341.9582544,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,96,0,0.521371086,0.135908209,391.0533039,28.0055659,519.336127,12.41510624,16.367,48.21
551,203.1180609,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,97,0,2.057228223,0.736546649,98.83108404,7.077859745,149.7584964,3.580085319,16.38792,48.22439
552,231.867798,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,83,0,2.023071863,0.500748979,100.3153231,7.184154603,154.7265077,3.698849226,16.37035,48.22659
553,200.7806839,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,0,2.661652177,0.059427445,87.41117751,6.260014858,125.9387696,3.010657499,16.401,48.224
554,104.247014,Private room,FALSE,TRUE,2,FALSE,0,1,8,80,1,3.58120849,0.63470962,92.51062792,6.625215697,118.1520866,2.824511202,16.34452,48.18287
555,338.452189,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,93,2,3.463339045,0.3212407,82.06469664,5.877122754,108.5583319,2.595165547,16.37892,48.17757
556,242.1522567,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,9,88,1,2.812501554,0.249257347,106.6277284,7.636222084,158.0273925,3.777759268,16.336,48.206
557,242.1522567,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,91,2,2.81249275,0.249243334,106.6278641,7.636231799,158.0277611,3.77776808,16.336,48.206
558,115.933899,Private room,FALSE,TRUE,2,TRUE,0,0,9,97,1,2.605973089,0.231795184,113.6992192,8.142652024,174.3740694,4.168538418,16.33883,48.20579
559,236.5425519,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,95,1,2.325071739,0.20090403,91.63456358,6.562475714,143.608654,3.433068882,16.36621,48.22884
560,163.6163897,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,98,1,3.025692402,0.444795492,96.53441902,6.913382414,139.2254543,3.328285318,16.333,48.21
561,201.7156347,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,100,2,6.854368328,0.194548143,35.89003923,2.570291183,52.69193651,1.259638904,16.44108,48.25063
562,114.7652105,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,5,60,2,4.209785552,1.201013337,68.49271966,4.905155782,95.95033871,2.293762339,16.3199,48.22049
563,390.575696,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,8,65,1,1.279418452,0.313647235,142.5802796,10.21099011,224.1414942,5.358264753,16.36985,48.21975
564,111.4928827,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,6.294616717,0.275408794,106.0916101,7.597827584,73.72708017,1.762499248,16.29536,48.18694
565,104.247014,Private room,FALSE,TRUE,2,FALSE,0,0,9,96,1,6.017206064,0.555010002,44.31359164,3.173549997,58.87459467,1.407439825,16.42486,48.1666
566,270.2007807,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,9,99,1,1.401344267,0.189056017,187.0939941,13.39887205,265.1069783,6.337574319,16.37154,48.196
567,165.720029,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,93,1,2.803791922,0.612295815,107.7367861,7.715648055,158.9566275,3.799973304,16.354,48.187
568,359.4885819,Entire home/apt,FALSE,FALSE,5,FALSE,0,0,10,98,2,2.176983172,0.89380912,94.09287593,6.738529535,142.2110421,3.399657957,16.38741,48.22582
569,141.6450459,Private room,FALSE,TRUE,2,TRUE,0,0,10,97,1,2.251775256,0.456423054,119.5071811,8.55859343,154.7438857,3.699264661,16.39897,48.21967
570,151.9295047,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,98,1,4.303022639,1.367481053,66.36547678,4.75281174,92.23099043,2.204848624,16.31955,48.22233
571,243.5546829,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,98,1,3.227632985,0.637785193,81.18795094,5.814333975,120.6882447,2.885139899,16.336,48.223
